bangla_speech,barishal_bangla_speech,chittagong_bangla_speech,mymensingh_bangla_speech,noakhali_bangla_speech,sylhet_bangla_speech
একটা রঙিন ছবি তুলতে হবে আমাদের সবার,এউক্কা রংগিন ছবি তোলতে হইবে মোগো বেবাকের,এক্কান কালার চবি তুলা ফরিবো আঁরার বেজ্ঞুনর,একটা রঙিন ছবি তুলতে হইব আমরার বেহের,এগগা রঙিন ছবি তুইলতে অইব আংগো বেকের,এখটা রঙিন ছবি তুলা লাগবো আমরা হখলর
আর কত ছুটি কাটাবো?,আর কত ছুটি কাডামু?,আর হদিন চুটি হাডাইয়্যুম?,আর কত ছুটি কাটায়াম ?,আর কত ছুডি কাডাইয়ুম, আর খত ছুটি কাটাইতাম
পুরোটা দেখার অপেক্ষায় বসে আছি,পুরাডা দ্যাহার অপেক্ষায় বইয়া রইছি,গুডায়ান দেইবার অফেক্কার লাই বই তাইক্কি,পুরাডা দেহার অপেক্ষায় বয়া রইসি,পুরাগা দেইকবার অপেক্ষাত বই রইছি, ফুরাটা দেখার অপেক্ষাত বই রইছি
আপনি বেঁচে আছেন?,আমনে বাইচ্চা আছেন?,অনে বাচি আচন নে?,আফনে বাইচ্চা আসেন?,আন্নে বাচি আছেন?,   আফনে বাঁচিয়া আছইন নি?
আশেপাশে কেউ থাকলে কল দিয়েন,আশেপাশে কেউ থাকলে ফোন দিয়েন,আশেফাশে হনিকাই তাকিলে কল দিয়ন,আশেফাশে কেউ থাকলে কল দিয়েন,আশেহাশে কুনুগা থাইকলে কল দিয়েন, আশেপাশে খেউ থাখলে কল দেইন যেন
দেখা করা যাবে,দ্যাহা করা যাইবে,দেহা গরা যাইবো,দেহা করা যাইব,দেয়া করন যাইবো, দেখা খরা যাইবো 
কিছু পাইতে হলে কিছু ছাড়তে হবে,কিছু পাইতে হইলেই কিছু ছাড়তে হইবে,কিচু ফাইতো অইলে কিচু চাইরতো অই,কিসু পাইতে হইলে কিসু ছাড়তে হইব,কিছু হাইতাম অইলে কিছু ছাইড়তাম অয়,কুনতা পাইতে অইলে  কুনতা ছাড়া লাগবো
বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে,বাংলাদেশে মোরে হগলডি মোর ডাক নামে চেনে,বাংলাদেশঅত আঁরে বেজ্ঞুনে আঁর ডাকনামে চিনে,বাংলাদেশে আমারে বেহেই আমার ডাক নামে চিনে,বাংলাদেশ এ আরে সবাই আর ডাক নামে চিনে,বাংলাদেশো মোরে সবে মোর ডাখ নামে চিনইন
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,দুই ঘণ্টা হইছে কারেন্ট যায় নাই,দুই গন্টা দরি কাআরন ন যায়,দুই ঘন্টা ধইর বিদ্যুৎ যায়নাই,দুই ঘন্টা ধরি কারোন যায়নো,  দুই ঘন্টা ধরি বিদ্যুৎ যার না
বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি?,কারেন্ট অপিসের ব্যাডাডা কি মইরা গ্যালে নিহি?,বিদ্যুত আফিসর মানুষওয়া কি মরি গেইয়্যুই নিকি?,বিদ্যুৎ অফিসের বেডাডা কি মইরা গেল নাকি?,কারেন্টের অফিসের বেডাগা কি মরি গেলো নি,কারেন্টর অফিসর বেটা মরি গেলো নাকিতা?
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,হেইবার আমি পেরায় ৪ মাস পরে বাসায় গেল্লাম,অইমত্তন আঁই ফ্রায় চাইর মাস ফর বাসাত গেয়্যি,হেইবার আমি প্রায় ৪ মাস ফরে বাসায় গেসি,হেইবার আই লাজেন ৪ মাস হরে বাইত গেছি,হবার মুই বাক্কা ৪ মাস বাদে বাসাত গেছি
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম,বাপের মোহের দিকে চাইয়া কেমন জানি এউক্কা ফাঁকা ফাঁকা অনুভব করলাম,আব্বুর মুকর ইক্কা চাই কেন যানি হালি হালি লাগের,আব্বার মুখের দিকে তাকায়া কেমন জানি একটা শূন্যতা অনুভব করলাম,বাবার মুখের দিকে তাকাই কেক্কান শূন্যতা অনুভব কইরলাম, আব্বার মুখর দিকে চাইয়া কিলান এখটা শূন্যতা অনুভব খরলাম
কবে যে আমার স্বপ্নটা পূরণ হবে,কবে যে মোর স্বপ্নডা পুরোন হইবে,হত্তে যে আঁর সফ্ন আন ফুরন অইবো,কবে যে আমার স্বপ্নডা পূরণ হইব,কোনদিন যে আর স্বপ্নগা পূরন অইব,কুনদিন যে আমার স্বপ্নটা পুরণ অইতো
আপনি কি আপনার হাত ধুতে জানেন?,আমনে কি আমনের হাত ধুইতে পারেন?,অনে কি অনর আত দুইতো জানন নে?,আফনে কি আফনের হাত ধুইতে জানেন?,আন্নে কি আন্নের হাত ধুইতাম জানেন, আফনে কিতা আফনার হাত ধুয়া চিনইন নি?
আপনি কি খামারের পশু পছন্দ করেন?,আমনে কি খামারের পশু পছন্দ করেন?,অনে কি হামারর ফশু ফচন্দ গরন নে?,আফনে কি খামারের পশু ফছন্দ করেন?,আন্নে কি খামারের হশু হছন্দ করেন,আফনে  কিতা খামারর পশু পছন্দ করইন নি?
আমি আমার পরিবারের কথা বলতে চাই,মুই মোর পরিবারের লগে কথা কইতে চাই,আঁই আঁর ফরিবারর হতা হইতো চাই,আমি আমার পরিবারের কথা কইতাম চাই,আই আর হরিবারের কথা কইতাম চাই, মুই মোর পরিবারর খতা কইতাম চাই
"আমার পরিবারে আমি  মা, বাবা এবং একটি ছোট্ট বোন","মোর পরিবারে মুই মা, আব্বা আর এউক্কা ছোডো বুইন","আঁর ফরিবারে আঁই, মা, বাবা আর ওজ্ঞা গুরা বইন","আমার পরিবারে আমি আম্মা, আব্বা আর একটা ছোট্ট বইন",আর হরিবারে আই মা আর এগগা ছোড বইন,"মোর পরিবারো মুই আম্মা, আব্বা আর এক হুরু বইন "
আমাদের সবাই একসময়ে একসাথে আছি,মোগো বেবাকডি একসময় একলগে আছি,আঁরার বেজ্ঞুন একসময় এক্কোফোয়ারে আচি,আমাদের বেহেই একসময়ে একসাথে আসি,আংগোর বেকে একসময় একলগে আছি,আমরার হখল এখ সময়ে একলগে আছি
আমরা খুব খুশি,মোরা বেমালা খুশি,আঁরা কুব কুশি,আমরা মেলা খুশি,আমরা মেলা খুশি,আমরা  খুব খুশি
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,মোগো পরিবারে খুশির বাইরে কোনো কাইজ্জা নাই,আঁরার ফরিবারত আনন্দর বাইরে হনো হইয্যা নাই,আমরার পরিবারে আনন্দের বাইরে কোন ঝগড়া নাই,আংগো হরিবারে আনন্দের বাইরে কোন কাইজ্জা নাই, আমরার পরিবারো আনন্দর বাইরে কুনো লাগালাগি নাই
আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ,মোর দোস্তোরা মোর জীবনের বেমালা দরকারি অংশ,আঁর বন্দুওক্কল আঁর জিবনর বউত গুরুত্বপূর্ণ অংশ,আমার বন্ধুরা আমার জীবনের মেলা গুরুত্বপূর্ণ অংশ,আর বন্দুঅগল আর জীবনের অনেক গুরুত্বপূর্ণ অংশ,মোর বন্ধুরা মোর জীবনর খুব গুরুত্বপুর্ণ অংশ
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,মুই হারা সময় মোর গেরামের মানের পাশে থাকতে চাই,আঁই এগাযা আঁর গেরামর মানুষওক্কলর ফাশে তাইক্তো চাই,আমি বেগসময় আমার গ্রামের মানুষরার পাশে থাকতে চাই,আই সবসময় আর গেরামের মানুষের হাশে থাইকতাম চাই, মুই হখল সময় মোর গাউর মানুষর পাশে থাকতাম চাই
খুব সুন্দর,বেমালা সুন্দর,বর সুন্দর,মেলা সুন্দর,মেলা সুন্দর,  খুব সুন্দর 
আপনার লেখা অসাধারণ,আমনের ল্যাহা অসাধারণ,অনর লেহা অসাদারন,আপনার লেহা অসাধারণ,আন্নের লেয়া অসাধারণ,আফনার লেখা অসাধারণ
আপনার ছবি দেখে খুব ভালো লেগছে,আমনের ছবি দেইক্ষা বেমালা ভালো লাগছে,অনর চবি দেকি কুব গম লাইজ্ঞে,আফনের ছবি দেইক্ষা খুব ভালা লাগসে,আন্নের ছবি দেই মেলা ভাল্লাইগছে,আফনার ছবু দেকিয়া খুব ভালা লাগছে
অসাধারণ করে লিখেছেন,অসাধারণ কইরা ল্যাখছেন,অসাদারন গরি লেইক্কোন,অসাধারণ কইরা লেখসেন,অসাধারণ করি লেইকছেন,অসাধারণ খরি লেখছইন
আমি ভালো লাগলো আপনার কথা পড়ে,মোর ভালো লাগলো আমনের কথা পইড়া,আত্তুন গম লাইজ্ঞে অনর হতা ফরি,আমার ভালা লাগলো আফনের কথা ফইড়া,আর ভাল লাইগলো আন্নের কতা হরি,মোর  ভালা লাগছে আফনার খতা পড়িয়া
আপনার এই পোস্টটি খুব উপকারী,আমনের এই পোস্টটা বেমালা দরকারি,অনর এই ফোস্ট ইয়ান কুব উফকারি,আফনের এই পোস্টটা খুব উফকারী,আন্নের এই পোস্ট আন খুব উফকারী,আফনার অউ পোস্টটা খুবই উফকারী
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,আমনের সুন্দর সুন্দর ছবিগুলা দেইখা সুখ পাইছি,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,আফনের সুন্দর সুন্দর ছবিগুলা দেইক্ষা আনন্দ পাইসি,আন্নের সুন্দর সুন্দর ছবিগুন দেই আনন্দ হাইছি, আফনার সুন্দর সুন্দর ছবিগুইন দেখিয়া মজা পাইছি
আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন,আমনে ম্যালা সুন্দর মতো সমেস্যাডা সমাধান করছেন,অনে কুব সুন্দর গরি সমস্যাগান সমাদান গইরগন,আফনে মেলা সুন্দরমতন সমস্যাডা সমাধান করসেন,আন্নে খুব সুন্দর করি সমস্যাগার সমাধান কইচ্ছেন,আফনে খুব সুন্দর খরি সমস্যাটার সমাধান করছইন
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,আমনের ব্লগডা পইড়া বেমালা কিছু শেখতে পারছি,অনর ব্লগকান ফরি বউত কিচু শিকিত ফাইরগি,আফনের ব্লগডা পইড়া অনেক কিছু শিখতাম ফারসি,আন্নের ব্লগগা পড়ি অনেক কিছু শিখতাম হাইচ্ছি.,আফনার  ব্লগটা পড়িয়া বাক্কা জিনিস শিখতাম ফারছি
আমি আপনার কাজকে  ভালোবাসি,মুই আমনের কামরে ভালোবাসি,আঁই অনর হাযরে বালবাসি,আমি আফনের কামরে ভালবাসি,আই আন্নের কাজরে ভালোবাসি,মুই আফনার কাজরে ভালাপাই
আপনার লেখার ধরণ খুব সুন্দর,আমনের ল্যাহার ধরন ম্যালা সুন্দর,অনর লেহার দরন কুব সুন্দর,আফনের লেহার ধরণ মেলা সুন্দর,আন্নের লেয়ার ধরন খুব সুন্দর, আফনার লেখার ধরন খুবই সুন্দর
আপনার ছবিটি দেখে মন ভরে গেলো,আমনের ছবিডা দেইখ্যা মোন ভইরা গেলো,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,আফনের ছবিডা দেইক্ষা মন ভইরা গেল,আন্নের ছবি আন দেই মন ভরি গেছে, আফনার ছবিটা দেখিয়া মন ভরি গেছে
খুব সুন্দর কথা বলেছেন,ম্যালা সুন্দর কথা কইছেন,কুব সুন্দর হতা হয়্যুন,খুব সুন্দর কথা কইসেন,খুব সুন্দর কতা কইছেন,বাক্কা সুন্দর মাত মাতলা
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,আমনের মজার মজার কথা হুনলে হারা দিন মোন ভালো থাহে,অনর মযার মযার হতা ফুনিলে আরাদিন মন বালা তাকে,আফনের মজার মজার কথা হুনলে সারা দিন মন ভালা থাহে,আন্নের মজার মজার কতা হুইনলে হারাদিন মন ভালা থায়,আফনার মজার মজার মাত হুনলে হারাদিন মন ভালা থাকে
একদিন সুন্দর একটি বাগানে একটি মেয়ে হাঁটছিল,এক দিন সুন্দর এউক্কা বাগানে এউক্কা মাইয়া হাঁটতেয়াছেলে,এদ্দিন সুন্দর এক্কান বাগানত ওজ্ঞা মাইফোয়া আডের,একদিন সুন্দর একটা বাগানে একটা মাইয়া হাঁটতাসিল,একদিন সুন্দর এগগা বাগানে  এগগা মাইয়া হাইডেআছিলো,এখদিন সুন্দর এখটা বাগানো এখটা ফুড়ি হাটের
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,হ্যায় আকাশে উড়তে থাহা পাখির গান হোনতেই মন খুশি হইয়া ওঠতে,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,হেই আকাশে উড়ন্ত পক্ষির গান হুনতেই মন খুশি হয়া উঠত,হেতে আকাশে উড়ন্ত পাখির গান হুনাইতেই মন খুশি অই গেছে,হউ আখাশর উড়া পাখির হান হুনলেউ মন খুশ অই যাইতো
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,হেই ফুলগুলার রংগিন মেলা দেইখ্যা মোন ভইরা যায়,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,হেই ফুলগুলার রঙিন মেলা দেইক্ষা হৃদয় ভইরা যায়,হেতে ফুলগুনের রঙিন মেলা দেই  হৃদয় ভরি যায়,হউ ফুুল অতার রঙিন মেলা দেখিয়া হারলে মন ভরি যায় 
তার পাশে থাকা পুতুলগুলো সেই মেয়ের সাথে খেলতে আসে,হ্যার লগে থাহা পুতুলগুলা হেই মাইয়ার লগে খেলতে আহে,তাঁর ডাহদ্দি তাকা ফুতুল্লুন অই মাইফোয়ার ফোয়ারে কেলা হাইতো আইয়্যে,তার ফাশে থাকা পুতুলগুলা হেই ছেড়ির সাথে খেলতে আসে,তার পাশে থাকা হুতুলগিন হেই মাইয়গার লগে খেইলতাম আইয়ে,তার লগে থাকা পুতুলগুইন হউ পুরির লগে খেলাত আয়
সে আরও একটি বন্ধু বানাতে চায় যার নাম ছিল রাহাত,হ্যায় আরো এউক্কা দোস্তো বানাইতে চায় যার নাম আল্লেহ রাহাত,ইবা আরও ওজ্ঞা বন্দু বানাইতো চার যার নাম রাহাত,হেয় আরও একটা বন্ধু বানাইতে চায় যার নাম আসিন রাহাত,হেতে আরো এককান বন্দুবানাইতো চায় নাম অআছিলো রাহাত,তাই আরো এখটা বন্ধু বানাইতো চায় যেগুর নাম আছিল রাহাত
তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,তোমার দোস্তোরা আসলেই ভালো মনের মানু,তোঁয়ারা বন্দুওক্কল সত্যিই বালা মনোর মানুষ,তোমার বন্ধুরা আসলেই ভালো মনের মানুষ,তোয়ার বন্দুরা সত্যি খুব ভালা মানুষ, তুমার বন্ধুরা হাছাউ ভালা মনর মানুষ
তোমার বন্ধুরা  সবাই খুব মেধাবী,তোমার দোস্তোরা বেবাকডি বেমালা মেধাবী,তোঁয়ারা বান্দুবিওক্কল বেজ্ঞুন বর মেদাবি,তোমার বন্ধুরা বেহেই মেলা মেধাবী,তোয়ার বন্দুগুন বেকে মেদাবি,তুমার বন্ধুরা হখল অউ খুব মেধাবী
তোমার বন্ধুদের কাছে থাকতে খুব ভালো লাগে,তোমার দোস্তোগো লগে থাকতে বেমালা ভালো লাগে,তোঁয়ার বন্দুওক্কলর হাচে তাইক্তো কুম বালা লাগে,তোমার বন্ধুরার কাসে থাকতে খুব ভালা লাগে,তোয়ার বন্দুগোর লগে থাইকত ভালা লাগে,তুমার বন্ধু্রার কান্দাত থাকতে খুব ভালা লাগে
বিয়ের পর মোটা হবে এমন স্বপ্ন নিয়ে বেঁচে আছে হাজারো পাতলা মেয়ে,বিয়ার পর মোডা হইবে এমন স্বপ্ন লইয়া বাইচ্চা রইছে হাজারো হুগনা মাইয়া,বিয়ার ফর মোটা অইব এন সফ্ন লই বাচি আচে আযারো লেডা মাইফোয়া,বিয়ার পর মোডা হইব এমন স্বপ্ন নিয়া বাইচ্চা আসে হাজারো পাতলা মাইয়া,বিয়ার হর মোডা অইব এই স্বপ্ন লই বাচি রাইছে হাজারো চিঅন মাইয়া..,হেঙ্গার বাদে মুটা অইবা অলা সফনো লইয়া বাঁচিয়া আছইন হাজার হাজার রাগ ফুড়িন
"মেয়েরা যে হারে ভদ্র ছেলে খুঁজছে, ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই","মাইয়ারা যে হারে ভদ্র পোলা খুঁজতেয়াছে, ভয় লাগতেয়াছে কোন দিন মুইও কিডন্যাপ হইয়া না যাই",মাইফোয়াঅক্কল যে হারে বদ্র ফোয়া তুয়ার ডর লাগের হন্দিন আঁরে কিডনাফ গরি লই যা গই,"মাইয়ারা যে হারে ভদ্র পোলা খুঁজতাসে, ভয় লাগতাসে কোনো দিন আমি কিডন্যাপ হয়া না যাই",মাইয়া অগল যেন্নে ভালা ভদ্র হোলা খুজের ভয় লাগে কোনদিন না জানি আই কিডনাফ অই যাই,"ফুড়িন্তে যে হারে ভদ্র ফুয়াইন খুজরা , ডর লাগের মুই নি কুন দিন কীডনাপ অই যাই"
"খন তোমার একা লাগবে, তুমি চারদিকে কিছুই দেখতে পাবে না","যহন তোমার একলা লাগবে, তুমি হারাদিকে কিছুই দ্যাখতে পাবা না","এহন তোয়াত্তুন গাআগাই লাগিবো , তুঁই চাইরোমিক্কা কিচু ন দেকিবা","খন তোমার একা লাগব, তুমি চারদিকে কিছুই দেখতে পাইবা না",যে সুমে তোমার একলা লাইগব তুউই চাইরোহাশে  কিছুই দেইকতে হাইতা ন,যেব্‌লা তুমার একলা লাগবো তুমি চাইরিদকে কিচ্চু দেখতায় নায়
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,আইজ সিঙ্গেল দেইখ্যা কারো লইজ্ঞা হাত কাটতে পারি না,আয সিঙ্গেল বলি হনিকার লাই আত হডিত ন ফারির,আজ সিঙ্গেল বইল্লা কারো লাইজ্ঞা হাত কাটতে ফারি না,আইজগা সিঙ্গেল দেই কুনুগার লাই হাত কাইটতাম হারি না, আইজ সিংগেল দেকিয়া কারো লাগি হাত কাটতাম ফারি না
সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায়  আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়,সিনেমায় বিয়ার পর কেচ্ছা শেষ হইয়া যায় আর বাস্তব জীবনে বিয়ার পরই সিনেমা শুরু হয়,"চিনেমাত বিয়ার ফর গল্ফ শেষ অই য গই, আর বাস্তবত বিয়ার ফর চিনেমা শুরু অই",সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায় আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়,ছবির ভিত্তে বিয়ার হর কায়িনি শেষ আর বাস্তব জীবনে বিয়ার হরেই আসল ছবির কাহিনী শুরু,সিনেমাত বিয়ার পর গল্প শেষ অই যায় আর বাস্তব জীবনো বিয়ার পর অউ সিনেমা শুরু অয়
"আজ গরিব বলে পৃথিবীতে থাকি,বড়লোক হলে মঙ্গল গ্রহে থাকতাম","আইজ গরীব দেইখ্যা পিরথিবিতে থাহি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম","আয গরিব বলি পিতিবিত তাকি , ডরমানুষ অইলে মঙগল গ্রহত তাকিতাম","আজ গরিব বইল্লা পৃথিবীতে থাকি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম",আইজ গরিব দেই পৃথিবীত থাই বড়লোক অইলে মঙ্গল গ্রহে থাইকতাম," আজকে গরীব দেকিয়া পৃথিবীত থাকিয়ার, ধনী অইলে মঙ্গল গ্রহত থাকতাম"
একমাত্র মেয়েরাই পারে অবলা ছেলেদের সহজ সরল মনটা কে ফুটবল ভেবে খেলা করতে,খালি মাইয়ারাই পারে অবলা পোলাগো সহজ সরল মনডা রে ফুটবল ভাইবা খেলা করতে,একমাত্র মাইফোয়াঅক্কল ফারে সহজ সরলব ফোয়াওক্কলর মন নান এরে ফুটবল টা আরি কেলা হাইতো,একমাত্র মাইয়ারাই ফারে অবলা পোলাদের সহজ সরল মনটা রে ফুটবল ভাইব্বা খেলা করতে,একমাত্র মাইয়ারাই হারে অবলা  হোলাগোর সহজ সরল মনগারে  লই ফুটবল এর মত খেইলতো, খালি ফুড়িন্তেউ পারইন বেচারা ফুয়াইন্তর সরল মনরে ফুটবল ভাবিয়া খেলতা
মাঝে মাঝে মন চায় থেমে থাকা গাড়ির নিচে পরে মরে যাই,মাঝে মইধ্যে মোন চায় থাইম্মা থাহা গাড়ির তলে পইড়া মইরা যাই,মাজে মাজে মন হঅয়তিয়াই তাইক্কেদে ইল্লা গারিত তলে ফরি মরি যাইগোই,মাঝে মাঝে মনডা চায় থাইম্মা থাকা গাড়ির নিচে পইরা মইরা যাই,মাঝে মাইধ্যে মন চায় থামি থাকা গাড়ির নিচে পড়ি মরি যাই,মাঝে মাঝে মনে কয় থামিয়া থাকা গাড়ির চাক্কার তলে পড়িয়া মরি যাই
"বউকে ভালোবাসতে শিখুন, কিন্তু কার বউ সেটা দেখার বিষয় না","বউরে ভালোবাসতে শেখেন,তয় কার বউ হেইডা দেহার ব্যাপার না","বউ অরে বালবাইসতে শিকঅন ,কিন্তু হার বউ ইয়ান দেহার বিষয় নয়","বউরে ভালোবাসতে শিখেন, কিন্তু কার বউ হেইডা দেহার বিষয় না",বউকে ভালোবাসতে শিখেন কিন্তু কার বউ হেটা দেইকবার বিষয় না,"বউরে ভালোবাসা হিকইন, কিন্তু কার বউ হিকটা দেখার দরকার নায়"
একবার ধরলে হাত ছাড়বেনা কখনো রোগা পাতলা মেয়ে গুলোকে দেখে মনে হয় ভিটামিনের বোতল কিনে দিই,এউক্কা বার ধরলে হাত ছাড়বেননা কহনো রোগা পাতলা মাইয়া গুলারে দেইখা মনে হয় ভিটামিনের বোতল কিন্যা দেই,এব্বার দইরলে আত ন চারিবা হনো সময় লেডা মাইফোয়া ওক্কলেরে দেইলে মনো অয় বিটামিন অর বতল কিনি দি,একবার ধরলে হাত ছাড়বেনা কহনো রোগা পাতলা মাইয়া গুলারে দেইক্ষা মনে হয় ভিটামিনের বোতল কিন্না দেই,একবার ধইল্লে আত ছাইডদোনো কোনসুমে রোগা হাতলা মাইয়া গুন দেইকলে মনে কয় এগগা ভিটামিন এর বতল কিনি দি, এখবার ধরিলাইলে হাত ছাড়তা না কুনোসময় বেমারি হুকনা ফুড়িন্তরে দেকিয়া মনে কয় ভিটামিনর বুতল কিনিয়া দিলাই
স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেছি তার পর যা হলো সব ইতিহাস,স্বপ্ন দেখলাম কেরাসের লগে ঘোরতে গেছি হেইয়ার পর যা হইলো সব ইতিহাস,সফ্নঅত দেইলাম ক্রাশর ফোয়ারে গুইরত গেয়্যি তারফর যা অয়্যে ইয়ান ইতিহাস,স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেসি তার পর যা হইলো বেগ ইতিহাস,স্বপ্ন দেইকলাম ক্রাশের লগে ঘুইরতাম গেছি   পরে দি যা অইছে হেটা ইতিহাস, সফনত দেখলাম ক্রাশর লগে পাখানিত গেছি এর বাদে যা অইলো ইতা সব ইতিহাস
"যখন ভাবি তুমি ছাড়া আমার জীবনটা অন্ধকার, ঠিক তখনই কারেন্ট চলে আসে","যহন ভাবি তুমি ছাড়া মোর জীবনডা আন্ধার, ঠিক তহনই কারেন্ট চইলা আহে",যেত্তে বাবি তুঁই চারা আঁর জিবন নান আঁন্দার টিক এ সময় অত কা আরন আ যাগই,"যহন ভাবি তুমি ছাড়া আমার জীবনডা আন্ধার, ঠিক তহনই কারেন্ট চইল্লা আসে",যন ভাবি তুমি ছাড়া আই অন্দকার ঠিক তন এ দেই কারেন্ট চলি আইয়ে,যেব্‌লাকু ভাবি তুমি ছাড়া আমার জিন্দেগি আইন্দাইর ঠিক হ সময় অউ কারেন্ট আই অয়
"বউ হারালে বউ পাওয়া যায়, কিন্তু বন্ধুকে টাকা দিলে সেটা আর ফেরত পাওয়া যায় না","বউ হারাইলে বউ পাওয়া যায়, তয় দোস্তোরে টাহা দেলে হেইডা আর ফেরত পাওয়া যায় না","বউ আঁযিলে বউ ফা যাই, কিন্তু বন্দুরে টিয়া দিলে আর ফেরত ফা ন যাই","বউ হারাইলে বউ পাওয়ন যায়, কিন্তু বন্ধুরে টেহা দিলে হেইডা আর ফেরত পাওয়ন যায় না",বউ আরাইলে বউ হান যায় কিন্তু বন্দুরে টেয়া দিলে হেই টেয়া আর হান যায়না,বউ আরাইলে বউ পাওয়া যায় কিন্তু বন্ধুরে টেখা দিলে ইতা আর ফিরত পাওয়া যায় না 
"চুল পরার সমস্যা  নিয়ে ডাক্তারের কাছে গেছিলাম, গিয়ে দেখি ডাক্তার নিজেই টাক","চুল পড়ার সমেস্যা লইয়া ডাক্তারের ধারে গেল্লাম, যাইয়া দেহি ডাক্তার নিজেই টাকলা","চুল ফরার সমইস্যা লই ডাক্তরর এডে গেইলাম, যাই এরে দেই ডাক্তর নিজেই টাক","চুল পরার সমস্যা লয়া ডাক্তারের কাসে গেছিলাম, গিয়া দেহি ডাক্তার নিজেই টাক",চুল হইড়বার সমস্যা লই ডাক্তারের কাছে গেছিলাম অন যাই দেই হেতে নিজেই টাক,"চুল পরার সমস্যা লইয়া ডাখতরর ধারে গেছলাম, গিয়া দেখি ডাখতর নিজেউ টাখলা"
"ভালো মানুষ নাকি বেশি দিন বাঁচে না, এটা শোনার পর খুব টেনশনে আছি","ভাল মানু বোলে বেশি দিন বাঁচে না, এইডা হোনার পর বেমালা টেনশনে আছি",বালা মানুষ নাকি বেশিদিন ন বাচে ইয়ান ফুনি টেনশন অত আচি,"ভালো মানুষ নাকিতা বেশি দিন বাঁচে না, এটা হুনার পর খুব টেনশনে আছি",ভালা মানুষ বলে বেশিদিন বাঁচে না এটা হুনবার হরেদি টেনশনে আছি,"ভালা মানুষ বুলে বেশিদিন বাছইন না, ইতা হুনার পর খুব টেনশনে আছি"
তোকে ভুলে যাওয়ার জন্য আমি ভালোবাসিনি,তোরে ভুইল্লা যাওয়ার লইজ্ঞা মুই ভালোবাসি নাই,তুরে বুলি যাইবর লাই আঁই বাল ন বাসি,তোরে ভুইল্লা যাওয়ার লাইজ্ঞা আমি ভালোবাসি নাই,তোরে ভুলি যাইবার লাই আই ভালোবাসি নো,তরে ভুলি যাওয়ার লাগি মুই তরে ভালাপাইছলাম না
"নিজেকে কখনো বেকার ভাববেন না, মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে","নিজেরে কহনো বেকার ভাববেন না, মনে রাখবেন আমনের শরীলের রক্ত দিয়া হাজারও মশার সংসার চলে",নিযেরে হনিকাই বেকার ন বাইব্বন মন অত রাইবান শরিরর রক্ত দি আযারও মশার সংসার চলে,"নিজেরে কহনো বেকার ভাববেন না, মনে রাখবেন আফনের শরীরের রক্ত দিয়ে হাজারডা মশার সংসার চলে",নিজেরে কোনসুমে বেকার ভাবিয়েন না মনে রাইকবেন আন্নের শরীরের রক্ত দি হাজারো মশার সংসার চলে," নিজোরে কুনোসময় বাওটা ভাববা না, মনো রাখবা আফনার শরীলর রখতো দিয়া হাজার মশার সংসার চলের"
